clk, area,
1.9,285765.780221,542954.9824199
2,278419.433046,556838.866092
2.1,268241.822543,563307.8273403
2.2,257412.41078,566307.303716
2.3,254260.339313,584798.7804199
2.4,243892.620335,585342.288804
2.5,244965.377203,612413.4430075
2.6,236923.096044,616000.0497144
2.7,234163.123645,632240.4338415
2.8,232319.747287,650495.2924036
2.9,231729.052149,672014.2512321
3,231623.813468,694871.440404
3.1,228967.382499,709798.8857469
3.2,227373.523839,727595.2762848
3.3,228933.434431,755480.3336223
3.4,226100.473828,768741.6110152
3.5,231051.789675,808681.2638625
3.6,228249.382296,821697.7762656
3.7,225268.747846,833494.3670302
3.8,224742.553848,854021.7046224
3.9,224477.759427,875463.2617653
4,225248.379023,900993.516092
4.1,225411.329448,924186.4507368
4.2,224815.542018,944225.2764756
4.3,223306.553478,960218.1799554
4.4,224778.199275,989024.07681
4.5,223162.274416,1004230.234872
4.6,222819.399616,1024969.2382336
4.7,223450.832416,1050218.9123552
4.8,222442.576817,1067724.3687216
4.9,222423.9054,1089877.13646
5,222045.38522,1110226.9261
5.1,222145.531829,1132942.2123279
5.2,221992.765816,1154362.3822432
5.3,222018.226801,1176696.6020453
5.4,221863.763413,1198064.3224302
5.5,222148.926726,1221819.096993
5.6,221429.229274,1240003.6839344
5.7,221670.260057,1263520.4823249
5.8,220901.337894,1281227.7597852
5.9,220692.55782,1302086.091138
6,220619.569659,1323717.417954
6.1,220322.524644,1343967.4003284
6.2,220493.962055,1367062.564741
6.3,220774.033067,1390876.4083221
6.4,220553.371044,1411541.5746816
6.5,220054.335453,1430353.1804445
6.6,219960.97849,1451742.458034
6.7,219838.76569,1472919.730123
6.8,219456.850383,1492306.5826044
6.9,219280.320794,1513034.2134786
7,219159.805378,1534118.637646
7.1,219242.97798,1556625.143658
7.2,219107.185991,1577571.7391352
7.3,219029.105582,1598912.4707486
7.4,218961.209585,1620312.950929
7.5,218861.062983,1641457.9723725
7.6,218876.339577,1663460.1807852
7.7,218837.299377,1685047.2052029
7.8,218742.244978,1706189.5108284
7.9,218713.389174,1727835.7744746
8,218638.703571,1749109.628568
8.1,218670.954173,1771234.7288013
8.2,218575.899767,1792322.3780894
8.3,218623.426971,1814574.4438593
8.4,218574.202362,1836023.2998408
8.5,218523.280365,1857447.8831025
8.6,218567.412767,1879679.7497962
8.7,218557.228358,1901447.8867146
8.8,217321.521124,1912429.3858912
8.9,218523.280359,1944857.1951951
9,218536.859561,1966831.736049
9.1,218555.530962,1988855.3317542
9.2,218541.951759,2010585.9561828
9.3,218536.85956,2032392.793908
9.4,218540.25436,2054278.390984
9.5,218533.464761,2076067.9152295
9.6,218531.767362,2097904.9666752
9.7,218540.254361,2119840.4673017
9.8,218511.398555,2141411.705839
9.9,218514.793355,2163296.4542145
10,218501.214155,2185012.14155
