clk, area(fake ROM),
1.9,300792.862675,571506.4390825
2,294307.097174,588614.194348
2.1,286227.473222,601077.6937662
2.2,275715.47511,606574.045242
2.3,268764.622371,618158.6314533
2.4,260720.64411,625729.545864
2.5,267121.539704,667803.84926
2.6,253391.271071,658817.3047846
2.7,251885.677385,680091.3289395
2.8,249736.76893,699262.953004
2.9,245735.997081,712634.3915349
3,249782.598946,749347.796838
3.1,246883.439844,765338.6635164
3.2,243346.05804,778707.385728
3.3,242920.010651,801636.0351483
3.4,242677.282469,825102.7603946
3.5,243710.999094,852988.496829
3.6,241575.6699,869672.41164
3.7,243700.814737,901693.0145269
3.8,242398.90892,921115.853896
3.9,243985.977945,951545.3139855
4,243566.720155,974266.88062
4.1,244354.313795,1001852.6865595
4.2,240506.307886,1010126.4931212
4.3,241355.007921,1037826.5340603
4.4,238943.002489,1051349.2109516
4.5,241332.941724,1085998.237758
4.6,241332.941724,1110131.5319304
4.7,241332.941724,1134264.8261028
4.8,237615.635664,1140555.0511872
4.9,238235.186678,1167352.4147222
5,237248.997264,1186244.98632
5.1,238929.423308,1218540.0588708
5.2,237004.571682,1232423.7727464
5.3,236985.900267,1256025.2714151
5.4,236877.266695,1279137.240153
5.5,237204.864977,1304626.7573735
5.6,236641.328318,1325191.4385808
5.7,236938.373302,1350548.7278214
5.8,235899.564553,1368217.4744074
5.9,235677.205265,1390495.5110635
6,235609.309313,1413655.855878
6.1,235303.777315,1435353.0416215
6.2,236089.673489,1463755.9756318
6.3,235546.505494,1483942.9846122
6.4,235828.273903,1509300.9529792
6.5,235144.221721,1528437.4411865
6.6,235049.167337,1551324.5044242
6.7,234823.413142,1573316.8680514
6.8,234489.025034,1594525.3702312
6.9,234319.285055,1616803.0668795
7,234270.060449,1639890.423143
7.1,234324.377245,1663703.0784395
7.2,234149.545051,1685876.7243672
7.3,234130.873641,1709155.3775793
7.4,234029.029639,1731814.8193286
7.5,233925.488248,1754441.16186
7.6,233956.041435,1778065.914906
7.7,233906.816841,1801082.4896757
7.8,233772.722234,1823427.2334252
7.9,233723.497619,1846415.6311901
8,233704.826221,1869638.609768
8.1,233709.918427,1893050.3392587
8.2,233613.166625,1915627.966325
8.3,233621.653625,1939059.7250875
8.4,233633.535424,1962521.6975616
8.5,233589.403021,1985509.9256785
8.6,233601.284823,2008971.0494778
8.7,233596.192615,2032286.8757505
8.8,233541.875812,2055168.5071456
8.9,233533.388813,2078447.1604357
9,233557.152415,2102014.371735
9.1,233567.336818,2125462.7650438
9.2,233543.573213,2148600.8735596
9.3,233567.336814,2172176.2323702
9.4,233562.244615,2195485.099381
9.5,233562.244615,2218841.3238425
9.6,233562.244615,2242197.548304
9.7,233545.270613,2265389.1249461
9.8,233502.835608,2288327.7889584
9.9,233502.835608,2311678.0725192
10,233511.322608,2335113.22608
