clk, area(fake ROM),,Latency=143
1.9,300792.862675,571506.4390825,81725420.7887975
2,294307.097174,588614.194348,84171829.791764
2.1,286227.473222,601077.6937662,85954110.2085666
2.2,275715.47511,606574.045242,86740088.469606
2.3,268764.622371,618158.6314533,88396684.2978219
2.4,260720.64411,625729.545864,89479325.058552
2.5,267121.539704,667803.84926,95495950.44418
2.6,253391.271071,658817.3047846,94210874.5841978
2.7,251885.677385,680091.3289395,97253060.0383485
2.8,249736.76893,699262.953004,99994602.279572
2.9,245735.997081,712634.3915349,101906717.989491
3,249782.598946,749347.796838,107156734.947834
3.1,246883.439844,765338.6635164,109443428.882845
3.2,243346.05804,778707.385728,111355156.159104
3.3,242920.010651,801636.0351483,114633953.026207
3.4,242677.282469,825102.7603946,117989694.736428
3.5,243710.999094,852988.496829,121977355.046547
3.6,241575.6699,869672.41164,124363154.86452
3.7,243700.814737,901693.0145269,128942101.077347
3.8,242398.90892,921115.853896,131719567.107128
3.9,243985.977945,951545.3139855,136070979.899927
4,243566.720155,974266.88062,139320163.92866
4.1,244354.313795,1001852.6865595,143264934.178009
4.2,240506.307886,1010126.4931212,144448088.516332
4.3,241355.007921,1037826.5340603,148409194.370623
4.4,238943.002489,1051349.2109516,150342937.166079
4.5,241332.941724,1085998.237758,155297747.999394
4.6,241332.941724,1110131.5319304,158748809.066047
4.7,241332.941724,1134264.8261028,162199870.1327
4.8,237615.635664,1140555.0511872,163099372.31977
4.9,238235.186678,1167352.4147222,166931395.305275
5,237248.997264,1186244.98632,169633033.04376
5.1,238929.423308,1218540.0588708,174251228.418524
5.2,237004.571682,1232423.7727464,176236599.502735
5.3,236985.900267,1256025.2714151,179611613.812359
5.4,236877.266695,1279137.240153,182916625.341879
5.5,237204.864977,1304626.7573735,186561626.304411
5.6,236641.328318,1325191.4385808,189502375.717054
5.7,236938.373302,1350548.7278214,193128468.07846
5.8,235899.564553,1368217.4744074,195655098.840258
5.9,235677.205265,1390495.5110635,198840858.082081
6,235609.309313,1413655.855878,202152787.390554
6.1,235303.777315,1435353.0416215,205255484.951874
6.2,236089.673489,1463755.9756318,209317104.515347
6.3,235546.505494,1483942.9846122,212203846.799545
6.4,235828.273903,1509300.9529792,215830036.276026
6.5,235144.221721,1528437.4411865,218566554.089669
6.6,235049.167337,1551324.5044242,221839404.132661
6.7,234823.413142,1573316.8680514,224984312.13135
6.8,234489.025034,1594525.3702312,228017127.943062
6.9,234319.285055,1616803.0668795,231202838.563768
7,234270.060449,1639890.423143,234504330.509449
7.1,234324.377245,1663703.0784395,237909540.216849
7.2,234149.545051,1685876.7243672,241080371.58451
7.3,234130.873641,1709155.3775793,244409218.99384
7.4,234029.029639,1731814.8193286,247649519.16399
7.5,233925.488248,1754441.16186,250885086.14598
7.6,233956.041435,1778065.914906,254263425.831558
7.7,233906.816841,1801082.4896757,257554796.023625
7.8,233772.722234,1823427.2334252,260750094.379804
7.9,233723.497619,1846415.6311901,264037435.260184
8,233704.826221,1869638.609768,267358321.196824
8.1,233709.918427,1893050.3392587,270706198.513994
8.2,233613.166625,1915627.966325,273934799.184475
8.3,233621.653625,1939059.7250875,277285540.687512
8.4,233633.535424,1962521.6975616,280640602.751309
8.5,233589.403021,1985509.9256785,283927919.372025
8.6,233601.284823,2008971.0494778,287282860.075325
8.7,233596.192615,2032286.8757505,290617023.232321
8.8,233541.875812,2055168.5071456,293889096.521821
8.9,233533.388813,2078447.1604357,297217943.942305
9,233557.152415,2102014.371735,300588055.158105
9.1,233567.336818,2125462.7650438,303941175.401263
9.2,233543.573213,2148600.8735596,307249924.919023
9.3,233567.336814,2172176.2323702,310621201.228939
9.4,233562.244615,2195485.099381,313954369.211483
9.5,233562.244615,2218841.3238425,317294309.309477
9.6,233562.244615,2242197.548304,320634249.407472
9.7,233545.270613,2265389.1249461,323950644.867292
9.8,233502.835608,2288327.7889584,327230873.821051
9.9,233502.835608,2311678.0725192,330569964.370246
10,233511.322608,2335113.22608,333921191.32944
