clk, area,,Latency=104
2.5,245537.398084,613843.49521,63839723.50184
2.6,237065.674593,616370.7539418,64102558.4099472
2.7,231805.432021,625874.6664567,65090965.3114968
2.8,223888.758646,626888.5242088,65196406.5177152
2.9,217718.709797,631384.2584113,65663962.8747752
3,212955.805417,638867.416251,66442211.290104
3.1,209571.189849,649670.6885319,67565751.6073176
3.2,205149.463034,656478.2817088,68273741.2977152
3.3,200617.405132,662037.4369356,68851893.4413024
3.4,198471.89161,674804.431474,70179660.873296
3.5,197431.385518,691009.849313,71865024.328552
3.6,194133.337356,698880.0144816,72683521.5060864
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
,,0,0
